ID,Preis,Kilometerstand,Leistung,Erstzulassung,Kraftstoff,Getriebe,Tueren,Halter,Fairer Preis,FairJaNein,Manuell,Automatik,Benzin,Diesel,Elektro
1,16490,56300,150,2017,Benzin,Manuell,5,2,3,nein,1.0,0.0,1.0,0.0,0.0
2,23000,99000,300,2014,Benzin,Automatik,5,2,3,nein,0.0,1.0,1.0,0.0,0.0
3,12700,82990,125,2015,Benzin,Manuell,5,3,4,ja,1.0,0.0,1.0,0.0,0.0
4,16690,16000,116,2018,Diesel,Manuell,3,1,3,nein,1.0,0.0,0.0,1.0,0.0
5,19220,58800,220,2017,Benzin,Manuell,5,1,3,nein,1.0,0.0,1.0,0.0,0.0
6,21650,63400,184,2017,Diesel,Automatik,5,2,2,nein,0.0,1.0,0.0,1.0,0.0
7,11250,114820,150,2015,Diesel,Manuell,5,1,4,ja,1.0,0.0,0.0,1.0,0.0
9,19822,46774,116,2018,Diesel,Automatik,5,2,3,nein,0.0,1.0,0.0,1.0,0.0
10,18790,76000,184,2015,Diesel,Automatik,5,1,3,nein,0.0,1.0,0.0,1.0,0.0
11,17944,93796,150,2018,Diesel,Manuell,5,2,3,nein,1.0,0.0,0.0,1.0,0.0
12,22977,61621,184,2019,Diesel,Automatik,3,1,3,nein,0.0,1.0,0.0,1.0,0.0
13,14877,121264,150,2017,Diesel,Manuell,5,2,2,nein,1.0,0.0,0.0,1.0,0.0
15,23999,61583,230,2017,Benzin,Automatik,3,1,3,nein,0.0,1.0,1.0,0.0,0.0
16,19999,139000,184,2015,Diesel,Automatik,5,1,2,nein,0.0,1.0,0.0,1.0,0.0
18,17900,22000,125,2015,Benzin,Automatik,5,1,4,ja,0.0,1.0,1.0,0.0,0.0
19,11577,113441,116,2017,Diesel,Manuell,3,1,4,ja,1.0,0.0,0.0,1.0,0.0
20,21650,63400,184,2017,Diesel,Automatik,5,2,2,nein,0.0,1.0,0.0,1.0,0.0
21,16490,107000,230,2014,Benzin,Manuell,3,2,4,ja,1.0,0.0,1.0,0.0,0.0
22,16490,130543,184,2016,Diesel,Automatik,5,2,4,ja,0.0,1.0,0.0,1.0,0.0
23,22800,14000,136,2019,Elektro,Automatik,5,1,5,ja,0.0,1.0,0.0,0.0,1.0
24,14990,53902,110,2017,Benzin,Automatik,5,2,4,ja,0.0,1.0,1.0,0.0,0.0
26,13877,94482,110,2017,Diesel,Manuell,5,1,3,nein,1.0,0.0,0.0,1.0,0.0
27,24990,69977,245,2018,Benzin,Automatik,5,1,3,nein,0.0,1.0,1.0,0.0,0.0
28,15900,34301,116,2019,Diesel,Manuell,5,1,5,ja,1.0,0.0,0.0,1.0,0.0
29,23777,12835,136,2020,Elektro,Automatik,5,2,5,ja,0.0,1.0,0.0,0.0,1.0
30,20977,38590,150,2019,Diesel,Automatik,5,2,5,ja,0.0,1.0,0.0,1.0,0.0
32,22900,12375,116,2019,Diesel,Manuell,5,1,2,nein,1.0,0.0,0.0,1.0,0.0
33,15990,99704,125,2017,Benzin,Manuell,5,1,2,nein,1.0,0.0,1.0,0.0,0.0
34,22790,50400,300,2016,Benzin,Manuell,5,2,4,ja,1.0,0.0,1.0,0.0,0.0
35,15480,68700,150,2016,Diesel,Automatik,5,1,4,ja,0.0,1.0,0.0,1.0,0.0
36,15590,77500,150,2016,Benzin,Manuell,5,2,3,nein,1.0,0.0,1.0,0.0,0.0
37,24300,8900,136,2019,Elektro,Automatik,5,1,5,ja,0.0,1.0,0.0,0.0,1.0
38,27443,20651,245,2019,Benzin,Manuell,5,1,3,nein,1.0,0.0,1.0,0.0,0.0
39,22777,14138,136,2020,Elektro,Automatik,5,1,5,ja,0.0,1.0,0.0,0.0,1.0
40,22990,12375,116,2019,Diesel,Manuell,5,1,2,nein,1.0,0.0,0.0,1.0,0.0
41,8806,205000,150,2014,Diesel,Manuell,5,1,2,nein,1.0,0.0,0.0,1.0,0.0
44,17990,7500,116,2016,Elektro,Automatik,5,1,4,ja,0.0,1.0,0.0,0.0,1.0
46,34880,9800,150,2021,Benzin,Automatik,5,1,4,ja,0.0,1.0,1.0,0.0,0.0
47,8400,196000,105,2014,Diesel,Manuell,5,3,4,ja,1.0,0.0,0.0,1.0,0.0
48,35790,8000,245,2020,Benzin,Automatik,5,1,3,nein,0.0,1.0,1.0,0.0,0.0
49,44350,7500,150,2021,Diesel,Automatik,5,1,3,nein,0.0,1.0,0.0,1.0,0.0
50,29841,15428,150,2020,Diesel,Automatik,5,1,5,ja,0.0,1.0,0.0,1.0,0.0
51,31879,10000,150,2021,Diesel,Automatik,5,1,3,nein,0.0,1.0,0.0,1.0,0.0
52,37990,2500,245,2021,Benzin,Automatik,5,1,3,nein,0.0,1.0,1.0,0.0,0.0
55,23695,704,131,2020,Benzin,Manuell,5,1,2,nein,1.0,0.0,1.0,0.0,0.0
56,6490,187000,86,2011,Benzin,Manuell,5,2,3,nein,1.0,0.0,1.0,0.0,0.0
57,48250,2500,245,2021,Benzin,Manuell,5,1,3,nein,1.0,0.0,1.0,0.0,0.0
58,33999,10000,150,2021,Benzin,Automatik,5,1,2,nein,0.0,1.0,1.0,0.0,0.0
59,59950,2500,320,2021,Benzin,Manuell,5,1,3,nein,1.0,0.0,1.0,0.0,0.0
60,16990,99800,230,2013,Benzin,Manuell,5,1,4,ja,1.0,0.0,1.0,0.0,0.0
61,18985,68950,220,2015,Benzin,Manuell,3,1,3,nein,1.0,0.0,1.0,0.0,0.0
62,16700,116000,184,2016,Diesel,Manuell,5,1,3,nein,1.0,0.0,0.0,1.0,0.0
63,24490,77000,300,2014,Benzin,Automatik,5,2,4,ja,0.0,1.0,1.0,0.0,0.0
64,16890,80000,150,2019,Diesel,Automatik,5,1,5,ja,0.0,1.0,0.0,1.0,0.0
65,16990,94951,150,2019,Diesel,Automatik,5,1,3,nein,0.0,1.0,0.0,1.0,0.0
66,10950,149079,150,2013,Diesel,Manuell,5,2,4,ja,1.0,0.0,0.0,1.0,0.0
